6102387|||||Gustave Madelain|||||(French, 1867 - 1944)|||||Vue de la catheIdrale Notre-Dame de Rouen|||||Lot 99 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  2,500 - 3,500 EUR|||||Materials: oil on canvas Measurements: 31.89 in. (81.00 cm.) (height) by 25.98 in. (66.00 cm.) (width) Markings: signed l.l.
6102388|||||Jean Baptiste Antoine Guillemet|||||(French, 1843 - 1918)|||||Les moulins des Sables daOlonne|||||Lot 100 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  1,500 - 2,000 EUR|||||Materials: oil on canvas Measurements: 21.26 in. (54.00 cm.) (height) by 28.94 in. (73.50 cm.) (width) Markings: signed l.r. Condition: craquelures and minor cleavage to pictorial layer
6102389|||||Louis Gaidan|||||(French, 1847 - 1925)|||||Paysage de Provence|||||Lot 101 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  1,500 - 2,000 EUR|||||Materials: oil on canvas Measurements: 21.65 in. (55.00 cm.) (height) by 14.96 in. (38.00 cm.) (width) Markings: signed l.l. Condition: later stretcher
6102390|||||Paul Schaan|||||(French, Russian, 1857 - 1924)|||||La lettre|||||Lot 102 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  2,000 - 3,000 EUR|||||Materials: oil on panel Measurements: 21.85 in. (55.50 cm.) (height) by 17.91 in. (45.50 cm.) (width) Markings: signed l.r. Condition: minor damages and restorations l.r.
6102391|||||Raoul Serres|||||(French, 1881 - 1971)|||||Portrait d'homme au chapeau|||||Lot 103 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  500 - 700 EUR|||||Materials: oil on canvas Measurements: 39.37 in. (100.00 cm.) (height) by 29.53 in. (75.00 cm.) (width) Markings: signed u.r.; dedicated 'A mon ami Grenier' and located 'Rome' Condition: minor stratches, canvas slightly unstretched
6102392|||||Eugene Galien-Laloue|||||(French, 1854 - 1941)|||||Paysage animeI de personnages|||||Lot 104 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  600 - 800 EUR|||||Materials: oil on canvas Measurements: 9.45 in. (24.00 cm.) (height) by 12.80 in. (32.50 cm.) (width) Markings: signed l.r. Condition: minor craquelure
6102393|||||Henri Alphonse Barnoin|||||(French, 1882 - 1935)|||||Le port de Concarneau, retour de peIche|||||Lot 105 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  2,000 - 2,500 EUR|||||Materials: oil on canvas Measurements: 23.62 in. (60.00 cm.) (height) by 28.74 in. (73.00 cm.) (width) Markings: signed l.r. Condition: minor damages and minor holes
6102394|||||Isidore Rosenstock|||||(French, 1880 - 1956)|||||Bouquet daaneImones|||||Lot 106 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  300 - 400 EUR|||||Materials: watercolor on paper Measurements: 17.72 in. (45.00 cm.) (height) by 21.85 in. (55.50 cm.) (width) Size Notes: sight Markings: signed l.r. Condition: framed under glass
6102395|||||Isidore Rosenstock|||||(French, 1880 - 1956)|||||Bouquet de pivoines|||||Lot 107 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  300 - 400 EUR|||||Materials: watercolor on paper Measurements: 21.26 in. (54.00 cm.) (height) by 17.32 in. (44.00 cm.) (width) Size Notes: sight Markings: signed l.l. Condition: framed under glass
6102396|||||Tony Tollet|||||(French, 1857 - 1953)|||||Jeunes femmes aI laantique autour daun bassin|||||Lot 108 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  3,000 - 5,000 EUR|||||Materials: oil on canvas Measurements: 35.04 in. (89.00 cm.) (height) by 45.67 in. (116.00 cm.) (width) Markings: signed l.l. Condition: minor damages
6102397|||||Joe Descomps|||||(French, 1869 - 1950)|||||Faune sortant daun buisson et surprenantune bacchante endormie, sur terrasse ovale|||||Lot 110 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  200 - 300 EUR|||||Materials: patinated terra cotta Measurements: 5.31 in. (13.50 cm.) (height) by 7.68 in. (19.50 cm.) (width) by 6.10 in. (15.50 cm.) (depth) Description: molded oval stained wood base Markings: publisher's stamp of a spider in a web; signed on base Condition: crack to one ear; cracks
6102398|||||Attributed to  Eugene Aizelin|||||(French, 1821 - 1902)|||||Marguerite|||||Lot 111 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  1,500 - 2,000 EUR|||||Materials: white marble Measurements: 22.83 in. (58.00 cm.) (height) Description: on pedestal Condition: minor damages
6102399|||||Attributed to  Eugene Aizelin|||||(French, 1821 - 1902)|||||Mignon|||||Lot 112 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  300 - 500 EUR|||||Materials: white marble Measurements: 19.69 in. (50.00 cm.) (height) Condition: minor damages
6102400|||||Attributed to  Eugene Aizelin|||||(French, 1821 - 1902)|||||Jeune femme de profil|||||Lot 113 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  300 - 500 EUR|||||Materials: white marble Measurements: 19.69 in. (50.00 cm.) (height) Condition: damages and losses
6102401|||||Attributed to  Eugene Aizelin|||||(French, 1821 - 1902)|||||Diane|||||Lot 114 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  300 - 500 EUR|||||Materials: white marble Measurements: 23.62 in. (60.00 cm.) (height) Description: on pedestal Condition: damages and losses
6102402|||||Albert Carrier-Belleuse|||||(French, 1824 - 1887)|||||La liseuse|||||Lot 115 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  3,500 - 4,000 EUR|||||Materials: chryselephantine in ivory and patinated gilt bronze Measurements: 23.62 in. (60.00 cm.) (height) Size Notes: height without base; total height: 63 cm. Description: counterbase in pink marble; Pre-convention ivory Markings: signed; cartouche on base with inscription 'Liseuse par A. Carrier-Belleuse - Grand prix du Salon'
6102403|||||Jean Baptiste Carpeaux|||||(French, 1827 - 1875)|||||La peIcheuse de vignots|||||Lot 116 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  2,500 - 3,000 EUR|||||Materials: bronze with brown patina Measurements: 28.35 in. (72.00 cm.) (height) Markings: signed on base; Exposition 1889 stamp on wing 'ProprieIteI Carpeaux' Condition: minor wear
6102404|||||Antoine-Louis Barye|||||(French, 1796 - 1875)|||||Cerf qui eIcoute|||||Lot 119 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  600 - 800 EUR|||||Materials: bbronze with brown-green patina nuanced Measurements: 7.48 in. (19.00 cm.) (height) by 6.34 in. (16.10 cm.) (width) by 2.32 in. (5.90 cm.) (depth) Markings: signed and dated on base; numbered '43' and '718' below base; marked 'F. Barbedienne Fondeur' and with gold stamp 'FB'
6102405|||||Maximilien Louis Fiot|||||(French, 1886 - 1953)|||||Deux biches|||||Lot 120 - Drouot Estimations, Paris (December 14, 2015)|||||D'Archeologie & Armes & Tableaux Anciens & Objets d'Art & Mobilier||||||||||Estimate:  1,000 - 1,200 EUR|||||Materials: bronze with brown patina Measurements:  by 17.32 in. (44.00 cm.) (width) Description: lost wax cast, Susse freIres eIditeurs Paris Markings: signed on base
6102406|||||Eugene Atget|||||(French, 1857 - 1927)|||||St SAverin|||||Lot 10 - Yann Le Mouel Sarl, Paris (November 10, 2015)|||||Photographies (Sale )||||||||||Estimate:  2,500 - 3,500 EUR|||||Materials: albumen print Measurements: 8.66 in. (22.00 cm.) (height) by 7.05 in. (17.90 cm.) (width) Markings: penciled caption and no. '9041' by photographer, print, verso
