Thaddeus Strode|||||(American, 1964)|||||Behind|||||Lot 268 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 1,800 - 2,200 USD|||||Materials: watercolor and ink on paper Measurements: 11.00 in. (27.94 cm.) (height) by 14.00 in. (35.56 cm.) (width) Size Notes: framed: 16 x 21.5 in. Condition: framed
Edward Hersey|||||(British, 1948)|||||Fox in a snowy field, cottages and village beyond|||||Lot 237 - Richard Winterton Fine Art Auctioneers, Lichfield (September 16, 2015)|||||Autumn Fine Art Sale (Sale )|||||$ 1,861 USD 1,645 EUR 1,200 GBP|||||Original Currency of Sale:   1,200 GBP Hammer Estimate:   500 - 600 GBP|||||Materials: oil on canvas Measurements: 17.32 in. (44.00 cm.) (height) by 23.62 in. (60.00 cm.) (width) Markings: signed l.r.
Lucien Clergue|||||(French, 1934 - 2014)|||||Passion Bleue de Toscane IV|||||Lot 269 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 5,000 - 6,000 USD|||||Materials: color photograph Measurements: 17.50 in. (44.45 cm.) (height) by 12.00 in. (30.48 cm.) (width) Size Notes: image; size: 20 x 16 in; framed: 32.5 x 22 in Edition: 6/15 Markings: signed, numbered Condition: framed
Rosemary Sarah Welch|||||(British, 1946)|||||Off to the Fete|||||Lot 239 - Richard Winterton Fine Art Auctioneers, Lichfield (September 16, 2015)|||||Autumn Fine Art Sale (Sale )|||||$ 853 USD 754 EUR 550 GBP|||||Original Currency of Sale:   550 GBP Hammer Estimate:   200 - 300 GBP|||||Materials: oil on canvas Measurements: 17.32 in. (44.00 cm.) (height) by 23.23 in. (59.00 cm.) (width) Markings: signed l.r.; titled verso
Louise Dahl-Wolfe|||||(American, 1895 - 1989)|||||Jimmy Durante I|||||Lot 270 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 700 - 900 USD|||||Materials: gelatin silverprint Measurements: 14.00 in. (35.56 cm.) (height) by 11.00 in. (27.94 cm.) (width)
Rosemary Sarah Welch|||||(British, 1946)|||||The Last Furrows|||||Lot 240 - Richard Winterton Fine Art Auctioneers, Lichfield (September 16, 2015)|||||Autumn Fine Art Sale (Sale )|||||$ 620 USD 548 EUR 400 GBP|||||Original Currency of Sale:   400 GBP Hammer Estimate:   300 - 400 GBP|||||Materials: oil on canvas Measurements: 23.62 in. (60.00 cm.) (height) by 35.43 in. (90.00 cm.) (width) Markings: signed l.r.; titled verso
David Hamilton|||||(British, 1933)|||||Woman Going Up Stairs|||||Lot 271 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 2,000 - 2,500 USD|||||Materials: Color Photograph Measurements: 14.00 in. (35.56 cm.) (height) by 9.50 in. (24.13 cm.) (width) Markings: signed and dated in ink
Rosemary Sarah Welch|||||(British, 1946)|||||Frolics|||||Lot 241 - Richard Winterton Fine Art Auctioneers, Lichfield (September 16, 2015)|||||Autumn Fine Art Sale (Sale )|||||$ 853 USD 754 EUR 550 GBP|||||Original Currency of Sale:   550 GBP Hammer Estimate:   200 - 300 GBP|||||Materials: oil on canvas Measurements: 23.62 in. (60.00 cm.) (height) by 29.53 in. (75.00 cm.) (width) Markings: signed l.r.
Ellsworth Kelly|||||(American, 1923)|||||Orange (curve)|||||Lot 235 - Wright, Chicago (September 24, 2015)|||||Art + Design (Sale )|||||$ 3,500 USD 3,130 EUR 2,299 GBP|||||Original Currency of Sale: $ 3,500 USD Premium Estimate: $ 1,500 - 2,000 USD|||||Materials: lithograph on Rives BFK paper Measurements: 16.00 in. (40.64 cm.) (height) by 12.00 in. (30.48 cm.) (width) Edition: 14/250 Description: published by Gemini G.E.L., Los Angeles and is from the America Coming Together (ACT): The 2004 Election Benefit Print Series portfolio Markings: signed and numbered to lower edge  14/250 Kelly'
Christopher Makos|||||(American, 1948)|||||Four by Four: Statue of Liberty|||||Lot 272 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 5,000 - 6,000 USD|||||Materials: Photograph Collage Measurements: 32.00 in. (81.28 cm.) (height) by 40.00 in. (101.60 cm.) (width) Size Notes: framed: 35 x 43 in. Condition: framed
Gordon King|||||(British, 1939)|||||Harbour at St Tropez|||||Lot 248 - Richard Winterton Fine Art Auctioneers, Lichfield (September 16, 2015)|||||Autumn Fine Art Sale (Sale )|||||Bought In|||||Estimate:   800 - 1,000 GBP|||||Materials: watercolor Measurements: 13.78 in. (35.00 cm.) (height) by 21.26 in. (54.00 cm.) (width) Markings: signed l.r.
Gordon King|||||(British, 1939)|||||Low Tide in the Channel Isles|||||Lot 250 - Richard Winterton Fine Art Auctioneers, Lichfield (September 16, 2015)|||||Autumn Fine Art Sale (Sale )|||||Bought In|||||Estimate:   1,200 - 1,400 GBP|||||Materials: watercolor Measurements: 20.87 in. (53.00 cm.) (height) by 29.53 in. (75.00 cm.) (width) Markings: signed l.r.
